library,owner,repo,number,html_url,title,state,created_at,updated_at,labels,matched_component,comments,reactions_plus_one
mui-material,mui,material-ui,48267,https://github.com/mui/material-ui/issues/48267,--mui-* css vars are undefined when augmented theme contains property with URL value,open,2026-04-12T16:59:45Z,2026-05-16T06:20:59Z,customization: theme|has workaround|type: bug,Link,2,0
mui-material,mui,material-ui,48252,https://github.com/mui/material-ui/issues/48252,Arrow key navigation failing when component is rendered in closed shadow DOM,open,2026-04-09T15:04:58Z,2026-04-13T13:06:20Z,type: bug,Link,2,0
mui-material,mui,material-ui,48009,https://github.com/mui/material-ui/issues/48009,[swipeable drawer] External ref causes mergeSlotProps to overwrite internal ref,open,2026-03-17T11:24:51Z,2026-03-24T12:15:25Z,component: swipeabledrawer|has workaround|type: bug,Drawer,3,0
mui-material,mui,material-ui,47722,https://github.com/mui/material-ui/issues/47722,[joy-ui][Autocomplete] Placeholder persists when values are selected in multiple mode,open,2026-02-06T16:49:23Z,2026-02-09T14:10:13Z,on hold|package: joy-ui|scope: autocomplete|type: bug,Autocomplete,2,0
mui-material,mui,material-ui,47717,https://github.com/mui/material-ui/issues/47717,"[autocomplete] when VoiceOver is on, dropdown closes as soon as the mouse hovers over an option",open,2026-02-05T12:39:45Z,2026-05-13T12:56:25Z,browser: firefox|scope: autocomplete|type: bug,Autocomplete,4,0
mui-material,mui,material-ui,47575,https://github.com/mui/material-ui/issues/47575,`next/font` recommendation breaks `letter-spacing`,open,2026-01-07T09:52:03Z,2026-05-05T10:10:57Z,has workaround|integration: nextjs|scope: typography|type: bug,,10,0
mui-material,mui,material-ui,47489,https://github.com/mui/material-ui/issues/47489,[select] Incorrect use of <label for=FORM_ELEMENT>,open,2025-12-15T14:03:55Z,2026-05-14T12:07:59Z,has workaround|scope: select|type: bug,Text Field,5,1
mui-material,mui,material-ui,47234,https://github.com/mui/material-ui/issues/47234,[chip] Delete icon calls `event.stopPropagation()`,open,2025-11-11T11:54:25Z,2026-05-12T12:09:43Z,scope: chip|type: bug,Popper,10,0
mui-material,mui,material-ui,47372,https://github.com/mui/material-ui/issues/47372,[autocomplete] Inconsistent IconButton size between end adornment vs in date/time pickers,open,2025-11-06T00:33:37Z,2026-01-15T14:34:46Z,has workaround|scope: autocomplete|type: bug,Autocomplete,5,0
mui-material,mui,material-ui,47073,https://github.com/mui/material-ui/issues/47073,[tooltip] Does not close with an IconButton trigger,open,2025-10-13T15:35:38Z,2026-04-21T19:05:49Z,scope: tooltip|type: bug,Tooltip,51,0
mui-material,mui,material-ui,46891,https://github.com/mui/material-ui/issues/46891,[text field] Visual bug on outlined label in Safari,open,2025-09-08T08:24:24Z,2026-04-19T18:55:45Z,browser: safari|scope: text field|type: bug,Text Field,11,5
mui-material,mui,material-ui,46791,https://github.com/mui/material-ui/issues/46791,[autocomplete] Popup causes undesirable page scroll on mobile,open,2025-08-20T08:32:55Z,2026-01-16T05:13:04Z,mobile|scope: autocomplete|scope: drawer|type: bug,Autocomplete,7,0
mui-material,mui,material-ui,46736,https://github.com/mui/material-ui/issues/46736,[select] Cannot choose a value on Androids TalkBack,open,2025-08-13T12:09:47Z,2026-04-16T11:10:51Z,accessibility|scope: select|type: bug,Link,6,0
mui-material,mui,material-ui,46589,https://github.com/mui/material-ui/issues/46589,[AppBar] useScrollTrigger breaks when AppBar position is sticky,open,2025-07-23T19:03:10Z,2026-04-14T15:30:44Z,scope: app bar|type: bug,App Bar,3,0
mui-material,mui,material-ui,46580,https://github.com/mui/material-ui/issues/46580,Tip on MUI docs about accessing theme in console is misleading,open,2025-07-21T13:53:50Z,2025-11-17T15:12:44Z,docs|scope: all components|type: bug,,3,1
mui-material,mui,material-ui,46545,https://github.com/mui/material-ui/issues/46545,Material ui via cdn broken TextField,open,2025-07-16T13:46:42Z,2026-02-04T17:23:54Z,scope: text field|type: bug,Text Field,11,0
mui-material,mui,material-ui,46439,https://github.com/mui/material-ui/issues/46439,[docs] Auto reload interrupting flow,open,2025-06-28T15:21:01Z,2025-12-10T08:04:46Z,docs|scope: all components|type: bug,,6,0
